SamplePopID,populationName,samplesize,geographicRegion,dataSet.of.origin,lat,lon,location,languoidName,glottocode,curation_notes,Exclude
846,TicunaTarapaca,18,AMERICA,NativeAmerican,-4,-70,Colombia,Ticuna,ticu1245,ok,ok
847,Embera,11,AMERICA,NativeAmerican,7,-76,Colombia,Embera,embe1258,automatically assigned by Robert F,ok
848,Waunana,20,AMERICA,NativeAmerican,5,-77,Colombia,Woun Meu,woun1238,automatically assigned by Robert F,ok
849,Arhuaco,16,AMERICA,NativeAmerican,11,-73.8,Colombia,Arhuaco,arhu1242,automatically assigned by Robert F,ok
871,Oriente,19,LATINO,Latino,14.6333,-90.517,Guatemala,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
872,MexicoCity,19,LATINO,Latino,19.4,-99.2,Mexico,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
881,CVCR,20,LATINO,Latino,9.93333,-84.083,CostaRica,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
882,Quetalmahue,20,LATINO,Latino,-41.467,-73.533,Chile,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
883,Paposo,20,LATINO,Latino,-25.05,-70.267,Chile,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
884,Catamarca,12,LATINO,Latino,-28.467,-65.783,Argentina,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
885,Salta,19,LATINO,Latino,-24.783,-65.417,Argentina,American Spanish,amer1254,ADMIXED. variable native american ancestry. no family information,ADMIXED
